date,project,points,results,run_time
2020-01-25,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-01-26,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-01-27,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-01-28,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-01-29,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-01-30,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-01-31,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-02-01,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-02-02,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-02-03,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-02-04,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-02-05,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-02-06,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-02-07,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-02-09,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-02-14,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-02-16,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-02-17,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-02-18,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-02-21,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-02-23,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-02-24,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-02-27,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-02-29,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-03-01,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-03-02,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-03-03,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-03-04,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-03-05,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-03-06,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-03-09,Smash Childhood Cancer,132697838,489410,93:292:19:20:20
2020-03-21,Smash Childhood Cancer,167323460,605144,109:156:08:45:24
2020-03-22,Smash Childhood Cancer,171001417,616863,111:005:06:53:40
2020-03-23,Smash Childhood Cancer,174524105,628295,112:202:12:43:57
2020-03-24,Smash Childhood Cancer,177987504,639413,114:009:07:49:02
2020-03-27,Smash Childhood Cancer,189061092,675121,118:289:13:51:08
2020-03-30,Smash Childhood Cancer,203641815,724905,125:136:13:00:04
