height,sanctuary_reward,miner_subsidy,time
172251,4384,2466,1580102980
172250,,2493,1580102251
172249,,2495,1580101545
172248,4428,2491,1580101451
172247,4421,2487,1580100975
172246,4443,2499,1580100608
172245,4437,2496,1580100277
172244,4467,2513,1580099756
172243,4448,2502,1580099503
172242,4475,2517,1580099269
172241,4500,2531,1580098655
172240,4491,2526,1580098576
172239,4497,2529,1580098157
172238,4436,2495,1580097771
172237,4469,2514,1580097513
172236,4497,2529,1580096748
172235,4528,2547,1580096514
172234,4509,2536,1580096189
172233,4478,2518,1580095999
172232,4428,2491,1580095632
172231,4526,2545,1580095082
172230,4526,2545,1580094368
172229,4523,2544,1580094314
172228,4474,2516,1580094115
172227,4472,2515,1580093793
172226,4487,2524,1580092902
172225,4498,2530,1580092572
172224,4486,2523,1580092047
172223,4444,2499,1580091806
172222,4452,2504,1580091478
172221,4461,2509,1580090793
172220,4488,2524,1580090293
172219,4461,2509,1580090040
172218,4452,2504,1580089758
172217,4449,2503,1580089215
172216,4480,2520,1580088927
172215,4479,2519,1580088310
172214,4477,2518,1580088051
172213,4477,2518,1580087872
172212,4492,2526,1580087346
172211,4476,2518,1580086876
172210,4442,2499,1580086693
172209,,2512,1580086144
172208,,2535,1580085683
172207,,2548,1580085360
172206,,2542,1580085071
172205,,2529,1580084942
172204,4483,2521,1580084569
172203,4535,2550,1580083989
172202,4511,2537,1580083498
172201,4500,2531,1580083238
172200,4520,2542,1580082900
172199,4533,2550,1580082606
172198,4526,2545,1580081386
172197,4455,2506,1580081325
172196,4504,2533,1580080826
172195,,2549,1580080165
172194,4552,2560,1580079972
172193,4519,2542,1580079508
172192,4444,2499,1580079355
172191,4278,2406,1580078914
172190,4384,2466,1580078102
172189,4525,2545,1580077274
172188,4504,2533,1580077118
172187,4471,2515,1580076875
172186,4352,2448,1580076670
172185,,2465,1580076373
172184,,2472,1580075165
172183,,2489,1580074924
172182,4421,2486,1580074671
172181,,2511,1580074171
172180,,2484,1580073909
172179,4399,2474,1580073646
172178,,2444,1580072995
172177,4433,2493,1580072746
172176,,2503,1580072117
172175,,2486,1580071782
172174,,2495,1580071592
172173,,2525,1580071260
172172,,2526,1580070688
172171,,2511,1580070442
172170,4398,2473,1580070294
172169,4377,2462,1580069677
172168,4244,2387,1580069031
172167,4442,2499,1580068572
172166,4476,2518,1580068030
172165,4491,2526,1580067868
172164,4399,2474,1580067549
172163,4455,2506,1580067477
172162,4516,2540,1580066794
172161,,2523,1580066372
172160,,2471,1580066096
172159,,2349,1580065911
172158,,2393,1580065219
172157,,2457,1580064060
172156,,2471,1580063772
172155,,2503,1580063610
172154,,2477,1580063336
172153,4453,2505,1580063011
172152,,2483,1580062636
172151,4440,2497,1580062334
172150,,2455,1580061692
172149,,2526,1580061567
172148,4523,2544,1580061037
172147,,2568,1580060737
172146,4494,2528,1580060651
172145,4559,2564,1580060572
172144,4539,2553,1580059847
172143,4571,2571,1580059667
172142,4520,2542,1580059108
172141,4565,2567,1580059038
172140,4610,2593,1580058388
172139,4624,2601,1580058229
172138,4602,2589,1580058014
172137,4573,2572,1580057867
172136,4504,2533,1580057483
172135,,2483,1580056671
172134,4449,2502,1580055400
172133,4439,2497,1580054193
172132,,2469,1580054034
172131,4387,2467,1580053652
172130,4380,2463,1580053062
172129,,2518,1580052637
172128,,2524,1580052322
172127,4459,2508,1580052063
172126,,2450,1580051697
172125,4290,2413,1580051460
172124,4387,2468,1580050638
172123,4456,2506,1580049975
172122,4521,2543,1580049830
172121,4543,2555,1580049703
172120,4553,2561,1580049488
172119,4574,2573,1580049178
172118,4572,2571,1580049001
172117,4566,2568,1580048589
172116,4550,2559,1580048181
172115,4539,2553,1580047957
172114,4562,2566,1580047252
172113,4573,2572,1580046835
172112,4591,2582,1580046668
172111,4605,2590,1580046202
172110,4602,2588,1580046015
172109,4579,2576,1580045771
172108,4544,2556,1580045253
172107,4472,2515,1580044848
172106,4528,2547,1580044112
172105,,2554,1580043287
172104,,2561,1580043069
172103,,2554,1580042714
172102,4561,2565,1580042490
172101,4535,2550,1580042041
172100,4556,2563,1580041608
172099,4533,2549,1580041255
172098,4542,2555,1580040930
172097,4506,2535,1580040220
172096,4515,2540,1580040122
172095,4543,2555,1580039459
172094,4539,2553,1580039033
172093,4559,2564,1580038774
172092,4544,2556,1580038484
172091,4536,2551,1580038075
172090,4481,2520,1580037595
172089,4496,2529,1580037319
172088,4496,2529,1580036542
172087,,2529,1580036122
172086,,2525,1580035750
172085,,2537,1580035445
172084,,2539,1580034956
172083,,2525,1580034605
172082,,2515,1580034279
172081,,2541,1580033842
172080,,2564,1580033365
172079,,2557,1580033077
172078,4567,2569,1580032855
172077,,2580,1580032606
172076,4607,2591,1580032247
172075,,2577,1580031842
172074,4582,2577,1580031764
172073,4523,2544,1580031306
172072,4500,2531,1580030670
172071,4440,2497,1580029847
172070,4487,2524,1580029637
172069,4494,2528,1580028464
172068,4444,2500,1580028383
172067,4435,2495,1580028205
172066,4419,2485,1580027445
172065,,2507,1580027040
172064,,2524,1580026670
172063,,2527,1580026286
172062,4518,2541,1580025979
172061,4515,2540,1580025797
172060,4507,2535,1580025344
172059,,2513,1580024912
172058,4487,2524,1580024701
172057,,2572,1580024023
172056,,2572,1580023743
172055,,2565,1580023671
172054,,2522,1580023285
172053,,2534,1580023008
172052,,2576,1580022218
172051,,2588,1580021821
172050,4573,2572,1580021725
172049,4543,2555,1580021532
172048,4473,2516,1580021142
172047,4452,2504,1580020456
172046,4417,2484,1580019370
172045,4431,2492,1580019114
172044,4438,2496,1580018452
172043,4382,2464,1580017986
172042,4308,2423,1580017746
172041,4396,2473,1580017214
172040,4514,2539,1580016646
172039,4511,2537,1580016448
172038,4516,2540,1580016270
172037,4429,2491,1580016028
172036,4518,2541,1580015716
172035,4499,2531,1580014999
172034,4476,2518,1580014773
172033,4388,2468,1580014236
172032,4432,2493,1580014108
172031,4506,2535,1580013203
172030,4490,2525,1580012804
172029,4503,2533,1580012776
172028,4503,2533,1580012395
172027,4533,2550,1580011964
172026,4534,2550,1580011587
172025,4496,2529,1580011382
172024,4451,2503,1580010863
